"","X24","X25","X26","X27","X28","X29","X30","X31","X32","X33","X34","X35","X36","X37","X38","X39","X40","X41","X42","X43","X44","X45","X46"
"52",10458.2378839444,1914.78280779968,172.133935369772,465.594393141918,653.619079339138,1936.77132535946,90.866258828953,738.368450429576,256.718810283943,768.604703409655,171.316134890121,876.103509787587,70.732614484179,559.569644109839,682.02458439179,432.277087477796,285.727595001051,255.880289555839,1084.50364274278,2279.43999409073,451.186119031115,5122.79501966769,688.727367050928
"53",10516.6004790239,1925.15991270122,172.343059163289,465.519432171752,658.500512434194,1943.2847459334,89.2400035399522,742.493701269494,256.52321622217,792.99490661679,171.834438173254,877.072027184837,68.6993575501454,565.320338755318,688.00215864966,431.298014565788,285.025738013441,256.644585066851,1092.71685617666,2299.67234963814,452.64293279892,4882.6571805643,690.306820061339
"54",10574.0348538613,1935.37494962506,172.532312547883,465.383336875292,663.331945928729,1949.59979949801,87.6944075935966,746.560930478191,256.296950927144,818.0637085842,172.333062880271,877.942006799061,66.763711011578,571.061627675591,693.947519727973,430.273155274244,284.297933437255,257.383059070913,1100.81684655935,2319.76648810982,454.047747538742,4658.96015624142,691.804416319455
"55",10630.6283124777,1945.44371768946,172.703536571244,465.191608791311,668.117947275583,1955.73529936428,86.2270178725473,750.576372877166,256.043017932829,843.831147414949,172.813640696048,878.723003171222,64.9229023306963,576.797176214938,699.865288714654,429.2079708379,283.547901027748,258.09828629394,1108.80998260838,2339.73759969063,455.404839093322,4450.57068154923,693.227002169349
"56",10686.462888212,1955.38107274624,172.858455616352,464.949408556536,672.862785875442,1961.70892912371,84.8353409630634,754.545879469135,255.764224767666,870.317572843012,173.27770197512,879.423977150504,63.1740902146731,582.530437207982,705.759803876649,428.10755356754,282.77911146574,258.792688812208,1116.70215484307,2359.59996803476,456.718218136509,4256.43548748041,694.58099407385
"57",10741.6157248275,1965.20099585202,172.998685658077,464.661578335326,677.57045411937,1967.53732410651,83.5168632663312,758.474944973297,255.463196708686,897.543656557304,173.726682946371,880.053338171407,61.5143887948621,588.264666508071,711.635141045214,426.976652827084,281.994804079934,259.468547115342,1124.49880864047,2379.36703625813,457.991649013195,4075.57590742711,695.87240902291
"58",10796.1591715217,1974.91661054046,173.125736181917,464.332645886381,682.244672253453,1973.2360914931,82.2690670684178,762.368714527675,255.142379884423,925.530419151958,174.161927414804,880.61895427477,59.94088611631,594.002926989214,717.495118655776,425.819680952781,281.197991022919,260.128002878944,1132.2049513519,2399.05142377566,459.228654181467,3907.08666619961,697.106871595146
"59",10850.1614760334,1984.54030711981,173.241025354343,463.966867551629,686.888927087637,1978.81995865172,81.0894490479333,766.232033961933,254.804066650097,954.299219404819,174.584699969583,881.128229548867,58.4506681389865,599.748116647536,723.343334878366,424.640761091324,280.3914897375,260.773079060456,1139.82521378216,2418.66504596333,460.432548767132,3750.12574329973,698.289669845249
"60",10903.687054407,1994.08379117034,173.345885848945,463.568244278863,691.506486829141,1984.30283077152,79.9755319910807,770.069469276409,254.450405281373,983.871762788829,174.996191071015,881.588133978804,57.0408333055681,605.502979606269,729.183182035422,423.443745507526,279.577935457014,261.405687730445,1147.36387344323,2438.2191609513,461.606453869667,3603.91048875275,699.4257767629
"61",10956.7966780855,2003.55811725312,173.441568830424,463.140532374532,696.100411238476,1989.69783072674,78.9248744440714,773.88532009598,254.083406565519,1014.27011516676,175.397520541777,882.005223922347,55.7085044829705,611.270113807493,735.017856596597,422.232228037418,278.759789750284,262.027635502205,1154.82487030961,2457.72440229068,462.75330569494,3467.71470529355,700.51986495518
